"Fecal Coliform (CFU/100mL)","Type","Nid","Fecal Coliform (CFU/100mL) (field_fecal_coliform) - delta"
"","Data: Water Quality","4622","1"
"","Data: Water Quality","4622","2"
"","Data: Water Quality","4622","3"
"","Data: Water Quality","4627",""
"","Data: Water Quality","4627","1"
"","Data: Water Quality","4627","2"
"","Data: Water Quality","4627","3"
"","Data: Water Quality","4636",""
"","Data: Water Quality","4636","1"
"","Data: Water Quality","4636","2"
"","Data: Water Quality","4636","3"
"","Data: Water Quality","4640",""
"","Data: Water Quality","4640","1"
"","Data: Water Quality","4640","2"
"","Data: Water Quality","4640","3"
"","Data: Water Quality","4647",""
"","Data: Water Quality","4647","1"
"","Data: Water Quality","4647","2"
"","Data: Water Quality","4647","3"
"","Data: Water Quality","4691",""
"","Data: Water Quality","4691","1"
"","Data: Water Quality","4691","2"
"","Data: Water Quality","4691","3"
"","Data: Water Quality","4784",""
"","Data: Water Quality","4784","1"
"","Data: Water Quality","4784","2"
"","Data: Water Quality","4784","3"
"","Data: Water Quality","4788",""
"","Data: Water Quality","4788","1"
"","Data: Water Quality","4788","2"
"","Data: Water Quality","4788","3"
"","Data: Water Quality","4789",""
"","Data: Water Quality","4789","1"
"","Data: Water Quality","4789","2"
"","Data: Water Quality","4789","3"
"","Data: Water Quality","4791",""
"","Data: Water Quality","4791","1"
"","Data: Water Quality","4791","2"
"","Data: Water Quality","4791","3"
"","Data: Water Quality","4792",""
"","Data: Water Quality","4792","1"
"","Data: Water Quality","4792","2"
"","Data: Water Quality","4792","3"
"","Data: Water Quality","4803",""
"","Data: Water Quality","4803","1"
"","Data: Water Quality","4803","2"
"","Data: Water Quality","4803","3"
"","Data: Water Quality","4806",""
"","Data: Water Quality","4806","1"
