"pH","Type","Nid","pH (field_ph) - delta"
"5.4","Data: Water Quality","3757","1"
"5.8","Data: Water Quality","3757","2"
"5.8","Data: Water Quality","3757","3"
"5.5","Data: Water Quality","3758",""
"5.7","Data: Water Quality","3758","1"
"5.3","Data: Water Quality","3758","2"
"5.6","Data: Water Quality","3758","3"
"6","Data: Water Quality","3760",""
"6.5","Data: Water Quality","3760","1"
"","Data: Water Quality","3760","2"
"","Data: Water Quality","3760","3"
"5.9","Data: Water Quality","3764",""
"5.8","Data: Water Quality","3764","1"
"","Data: Water Quality","3764","2"
"","Data: Water Quality","3764","3"
"5.06","Data: Water Quality","3808",""
"","Data: Water Quality","3808","1"
"","Data: Water Quality","3808","2"
"","Data: Water Quality","3808","3"
"4.5","Data: Water Quality","3822",""
"","Data: Water Quality","3822","1"
"","Data: Water Quality","3822","2"
"","Data: Water Quality","3822","3"
"5.5","Data: Water Quality","3823",""
"","Data: Water Quality","3823","1"
"","Data: Water Quality","3823","2"
"","Data: Water Quality","3823","3"
"4.5","Data: Water Quality","3824",""
"5","Data: Water Quality","3824","1"
"","Data: Water Quality","3824","2"
"","Data: Water Quality","3824","3"
"4.5","Data: Water Quality","3829",""
"","Data: Water Quality","3829","1"
"","Data: Water Quality","3829","2"
"","Data: Water Quality","3829","3"
"6.5","Data: Water Quality","3942",""
"","Data: Water Quality","3942","1"
"","Data: Water Quality","3942","2"
"","Data: Water Quality","3942","3"
"6.5","Data: Water Quality","3945",""
"6.5","Data: Water Quality","3945","1"
"6.5","Data: Water Quality","3945","2"
"","Data: Water Quality","3945","3"
"7","Data: Water Quality","3995",""
"7","Data: Water Quality","3995","1"
"7","Data: Water Quality","3995","2"
"","Data: Water Quality","3995","3"
"7.25","Data: Water Quality","4274",""
"","Data: Water Quality","4274","1"
"","Data: Water Quality","4274","2"
"","Data: Water Quality","4274","3"
"","Data: Water Quality","4315",""
"","Data: Water Quality","4315","1"
"","Data: Water Quality","4315","2"
"","Data: Water Quality","4315","3"
"","Data: Water Quality","4325",""
"","Data: Water Quality","4325","1"
"","Data: Water Quality","4325","2"
"","Data: Water Quality","4325","3"
"8","Data: Water Quality","4437",""
"","Data: Water Quality","4437","1"
"","Data: Water Quality","4437","2"
"","Data: Water Quality","4437","3"
"7","Data: Water Quality","4471",""
"","Data: Water Quality","4471","1"
"","Data: Water Quality","4471","2"
"","Data: Water Quality","4471","3"
"8","Data: Water Quality","4484",""
"6.85","Data: Water Quality","4484","1"
"7.64","Data: Water Quality","4484","2"
"","Data: Water Quality","4484","3"
"7","Data: Water Quality","4485",""
"6.32","Data: Water Quality","4485","1"
"7.65","Data: Water Quality","4485","2"
"","Data: Water Quality","4485","3"
"6.24","Data: Water Quality","4549",""
"6.55","Data: Water Quality","4549","1"
"6.01","Data: Water Quality","4549","2"
"6.78","Data: Water Quality","4549","3"
"7","Data: Water Quality","4561",""
"","Data: Water Quality","4561","1"
"","Data: Water Quality","4561","2"
"","Data: Water Quality","4561","3"
