"Water Temperature","Type","Nid","Delta"
"","Data: Water Quality","3347","3"
"55","Data: Water Quality","3350",""
"","Data: Water Quality","3350","1"
"","Data: Water Quality","3350","2"
"","Data: Water Quality","3350","3"
"57","Data: Water Quality","3353",""
"","Data: Water Quality","3353","1"
"","Data: Water Quality","3353","2"
"","Data: Water Quality","3353","3"
"40","Data: Water Quality","3382",""
"","Data: Water Quality","3382","1"
"","Data: Water Quality","3382","2"
"","Data: Water Quality","3382","3"
"38","Data: Water Quality","3391",""
"","Data: Water Quality","3391","1"
"","Data: Water Quality","3391","2"
"","Data: Water Quality","3391","3"
"13.3","Data: Water Quality","3412",""
"","Data: Water Quality","3412","1"
"","Data: Water Quality","3412","2"
"","Data: Water Quality","3412","3"
"12.7","Data: Water Quality","3413",""
"","Data: Water Quality","3413","1"
"","Data: Water Quality","3413","2"
"","Data: Water Quality","3413","3"
"13.4","Data: Water Quality","3414",""
"","Data: Water Quality","3414","1"
"","Data: Water Quality","3414","2"
"","Data: Water Quality","3414","3"
"13.6","Data: Water Quality","3415",""
"","Data: Water Quality","3415","1"
"","Data: Water Quality","3415","2"
"","Data: Water Quality","3415","3"
"12.8","Data: Water Quality","3416",""
"","Data: Water Quality","3416","1"
"","Data: Water Quality","3416","2"
"","Data: Water Quality","3416","3"
"13.2","Data: Water Quality","3417",""
"","Data: Water Quality","3417","1"
"","Data: Water Quality","3417","2"
"","Data: Water Quality","3417","3"
"13.6","Data: Water Quality","3418",""
"","Data: Water Quality","3418","1"
"","Data: Water Quality","3418","2"
"","Data: Water Quality","3418","3"
"40","Data: Water Quality","3582",""
"","Data: Water Quality","3582","1"
"","Data: Water Quality","3582","2"
"","Data: Water Quality","3582","3"
"38","Data: Water Quality","3587",""
"","Data: Water Quality","3587","1"
"","Data: Water Quality","3587","2"
"","Data: Water Quality","3587","3"
"40","Data: Water Quality","3588",""
"","Data: Water Quality","3588","1"
"","Data: Water Quality","3588","2"
"","Data: Water Quality","3588","3"
"42.7","Data: Water Quality","3606",""
"44.6","Data: Water Quality","3606","1"
"43.3","Data: Water Quality","3606","2"
"","Data: Water Quality","3606","3"
"2","Data: Water Quality","3609",""
"","Data: Water Quality","3609","1"
"","Data: Water Quality","3609","2"
"","Data: Water Quality","3609","3"
"","Data: Water Quality","3610",""
"","Data: Water Quality","3610","1"
"","Data: Water Quality","3610","2"
"","Data: Water Quality","3610","3"
"2","Data: Water Quality","3616",""
"","Data: Water Quality","3616","1"
"","Data: Water Quality","3616","2"
"","Data: Water Quality","3616","3"
"-2","Data: Water Quality","3617",""
"","Data: Water Quality","3617","1"
"","Data: Water Quality","3617","2"
"","Data: Water Quality","3617","3"
"52.8","Data: Water Quality","3655",""
"","Data: Water Quality","3655","1"
"","Data: Water Quality","3655","2"
"","Data: Water Quality","3655","3"
"11.6","Data: Water Quality","3675",""
"","Data: Water Quality","3675","1"
"","Data: Water Quality","3675","2"
"","Data: Water Quality","3675","3"
"12.9","Data: Water Quality","3676",""
"","Data: Water Quality","3676","1"
"","Data: Water Quality","3676","2"
"","Data: Water Quality","3676","3"
"11.5","Data: Water Quality","3677",""
"","Data: Water Quality","3677","1"
"","Data: Water Quality","3677","2"
"","Data: Water Quality","3677","3"
"11.5","Data: Water Quality","3678",""
"","Data: Water Quality","3678","1"
"","Data: Water Quality","3678","2"
"","Data: Water Quality","3678","3"
"11","Data: Water Quality","3679",""
"","Data: Water Quality","3679","1"
"","Data: Water Quality","3679","2"
"","Data: Water Quality","3679","3"
