"Turbidity (NTU)","Type","Nid","Delta"
"","Data: Water Quality","3680","3"
"33.5","Data: Water Quality","3681",""
"","Data: Water Quality","3681","1"
"","Data: Water Quality","3681","2"
"","Data: Water Quality","3681","3"
"","Data: Water Quality","3744",""
"","Data: Water Quality","3744","1"
"","Data: Water Quality","3744","2"
"","Data: Water Quality","3744","3"
"","Data: Water Quality","3746",""
"","Data: Water Quality","3746","1"
"","Data: Water Quality","3746","2"
"","Data: Water Quality","3746","3"
"","Data: Water Quality","3748",""
"","Data: Water Quality","3748","1"
"","Data: Water Quality","3748","2"
"","Data: Water Quality","3748","3"
"","Data: Water Quality","3750",""
"","Data: Water Quality","3750","1"
"","Data: Water Quality","3750","2"
"","Data: Water Quality","3750","3"
"","Data: Water Quality","3752",""
"","Data: Water Quality","3752","1"
"","Data: Water Quality","3752","2"
"","Data: Water Quality","3752","3"
"","Data: Water Quality","3753",""
"","Data: Water Quality","3753","1"
"","Data: Water Quality","3753","2"
"","Data: Water Quality","3753","3"
"","Data: Water Quality","3757",""
"6","Data: Water Quality","3757","1"
"12","Data: Water Quality","3757","2"
"20","Data: Water Quality","3757","3"
"15.6","Data: Water Quality","3758",""
"12.3","Data: Water Quality","3758","1"
"12.4","Data: Water Quality","3758","2"
"16","Data: Water Quality","3758","3"
"10","Data: Water Quality","3760",""
"11","Data: Water Quality","3760","1"
"","Data: Water Quality","3760","2"
"","Data: Water Quality","3760","3"
"22","Data: Water Quality","3764",""
"18","Data: Water Quality","3764","1"
"","Data: Water Quality","3764","2"
"","Data: Water Quality","3764","3"
"13.7","Data: Water Quality","3808",""
"","Data: Water Quality","3808","1"
"","Data: Water Quality","3808","2"
"","Data: Water Quality","3808","3"
"51.8","Data: Water Quality","3822",""
"","Data: Water Quality","3822","1"
"","Data: Water Quality","3822","2"
"","Data: Water Quality","3822","3"
"44.5","Data: Water Quality","3823",""
"","Data: Water Quality","3823","1"
"","Data: Water Quality","3823","2"
"","Data: Water Quality","3823","3"
"118.9","Data: Water Quality","3824",""
"","Data: Water Quality","3824","1"
"","Data: Water Quality","3824","2"
"","Data: Water Quality","3824","3"
"64.1","Data: Water Quality","3829",""
"","Data: Water Quality","3829","1"
"","Data: Water Quality","3829","2"
"","Data: Water Quality","3829","3"
"12","Data: Water Quality","3942",""
"","Data: Water Quality","3942","1"
"","Data: Water Quality","3942","2"
"","Data: Water Quality","3942","3"
"40.2","Data: Water Quality","3945",""
"17","Data: Water Quality","3945","1"
"100","Data: Water Quality","3945","2"
"","Data: Water Quality","3945","3"
"26","Data: Water Quality","3995",""
"25","Data: Water Quality","3995","1"
"14","Data: Water Quality","3995","2"
"","Data: Water Quality","3995","3"
"62","Data: Water Quality","4274",""
"","Data: Water Quality","4274","1"
"","Data: Water Quality","4274","2"
"","Data: Water Quality","4274","3"
"","Data: Water Quality","4315",""
"","Data: Water Quality","4315","1"
"","Data: Water Quality","4315","2"
"","Data: Water Quality","4315","3"
"","Data: Water Quality","4325",""
"","Data: Water Quality","4325","1"
"","Data: Water Quality","4325","2"
"","Data: Water Quality","4325","3"
"20","Data: Water Quality","4437",""
"","Data: Water Quality","4437","1"
"","Data: Water Quality","4437","2"
"","Data: Water Quality","4437","3"
"","Data: Water Quality","4471",""
"","Data: Water Quality","4471","1"
"","Data: Water Quality","4471","2"
"","Data: Water Quality","4471","3"
"","Data: Water Quality","4484",""
"-0.7","Data: Water Quality","4484","1"
"","Data: Water Quality","4484","2"
"","Data: Water Quality","4484","3"
"20","Data: Water Quality","4485",""
"","Data: Water Quality","4485","1"
"","Data: Water Quality","4485","2"
"","Data: Water Quality","4485","3"
"9.7","Data: Water Quality","4549",""
"4.5","Data: Water Quality","4549","1"
"2.1","Data: Water Quality","4549","2"
"11.7","Data: Water Quality","4549","3"
"20","Data: Water Quality","4561",""
"20","Data: Water Quality","4561","1"
"4.5","Data: Water Quality","4561","2"
"1","Data: Water Quality","4561","3"
"20","Data: Water Quality","4583",""
"22","Data: Water Quality","4583","1"
"28","Data: Water Quality","4583","2"
"","Data: Water Quality","4583","3"
"20","Data: Water Quality","4590",""
"22.5","Data: Water Quality","4590","1"
"","Data: Water Quality","4590","2"
"","Data: Water Quality","4590","3"
"10","Data: Water Quality","4591",""
"15","Data: Water Quality","4591","1"
"","Data: Water Quality","4591","2"
"12.2","Data: Water Quality","4591","3"
"10","Data: Water Quality","4601",""
"","Data: Water Quality","4601","1"
"","Data: Water Quality","4601","2"
"","Data: Water Quality","4601","3"
"","Data: Water Quality","4622",""
"13.9","Data: Water Quality","4622","1"
"12.4","Data: Water Quality","4622","2"
"","Data: Water Quality","4622","3"
"","Data: Water Quality","4627",""
"3.7","Data: Water Quality","4627","1"
"","Data: Water Quality","4627","2"
"6.3","Data: Water Quality","4627","3"
"","Data: Water Quality","4636",""
"9.1","Data: Water Quality","4636","1"
"6","Data: Water Quality","4636","2"
"","Data: Water Quality","4636","3"
"4","Data: Water Quality","4640",""
"3.5","Data: Water Quality","4640","1"
